# word<TAB>weight
# Common function words
the	500
be	480
to	480
of	470
and	470
a	460
in	450
that	440
have	430
i	430
it	420
for	410
not	400
on	400
with	390
he	380
as	380
you	450
do	370
at	360
this	440
but	350
his	340
by	340
from	340
they	380
we	410
say	320
her	320
she	330
or	360
an	350
will	390
my	390
one	320
all	330
would	350
there	370
their	350
what	400
so	360
up	320
out	350
if	380
about	340
who	330
get	360
which	330
go	350
me	360
when	370
make	360
can	410
like	370
time	350
no	390
just	380
him	300
know	350
take	320
people	320
into	330
year	310
your	430
good	390
some	340
could	330
them	310
see	350
other	330
than	330
then	350
now	390
look	330
only	350
come	330
its	310
over	330
think	350
also	340
back	340
after	320
use	380
two	300
how	390
our	340
work	390
first	340
well	400
way	330
even	330
new	380
want	360
because	350
these	330
give	320
day	330
most	330
us	350

# Conversation and writing
hello	500
hi	500
hey	450
thanks	500
thank	480
please	480
sorry	450
stuff	450
yes	470
yeah	430
okay	470
ok	500
nice	500
great	480
awesome	450
welcome	430
bye	430
today	360
tomorrow	350
yesterday	320
morning	330
afternoon	310
evening	320
night	330
email	450
message	400
reply	380
send	380
call	360
meeting	400
update	420
note	370
idea	370
question	390
answer	390
example	380
test	450
testing	450
done	450
ready	420
help	450
problem	410
issue	450
error	480
success	430
failed	430
true	450
false	450
none	380
null	480

# Software, developer tools, and product names
linux	600
arch	600
kde	600
plasma	600
wayland	600
xwayland	550
fcitx	600
fcitx5	650
rime	600
lua	600
python	600
ruby	550
rust	600
swift	550
java	550
javascript	600
typescript	600
html	550
css	550
json	600
yaml	600
toml	550
xml	500
sql	550
api	600
sdk	550
cli	600
gui	550
app	550
application	450
server	500
client	500
database	500
cache	480
config	550
configuration	500
plugin	520
package	500
module	500
function	500
class	480
object	480
string	500
number	450
boolean	450
array	500
table	450
file	500
folder	450
path	500
command	500
terminal	520
shell	500
bash	550
zsh	550
git	650
github	650
gitlab	550
commit	550
branch	550
merge	520
pull	500
push	500
request	480
review	500
release	520
version	520
build	550
debug	550
deploy	550
install	550
uninstall	520
upgrade	500
download	480
upload	480
openai	650
chatgpt	650
codex	650
google	600
apple	600
macos	600
windows	600
android	600
iphone	600
ipad	600
asus	600
docker	600
kubernetes	600
node	550
npm	600
pnpm	600
yarn	550
react	600
vue	550
svelte	550
angular	550
nextjs	600
backend	500
frontend	500
fullstack	480
http	600
https	600
url	600
ssh	600
tcp	550
udp	550
wifi	550
bluetooth	550
cpu	550
gpu	550
ram	550
memory	500
disk	480
keyboard	500
mouse	450
screen	460
display	460
input	500
output	500
english	500
chinese	500
taiwan	500
taipei	500
